spotify_primary_artist_name,musicbrainz_artist_gender
Case,male
Brooke Valentine,female
Lucky Daye,male
Espinoza Paz,male
DJ Snake,male
Millie Jackson,female
Eloise Laws,female
Debbie Gibson,female
Dave Alvin,male
Martina McBride,female
Elliott Yamin,male
Remmy Valenzuela,male
Devin Townsend,male
Brian Culbertson,male
Robert Miles,male
Dreams,male
Ra,male
$NOT,male
Carly Pearce,female
Bryce Vine,male
Sufjan Stevens,male
Buster Poindexter,male
Bret Michaels,male
Upchurch,male
Billy Idol,male
Melody Gardot,female
Natanael Cano,male
Queen Pen,female
SiR,male
Billy Joe Royal,male
Chris Webby,male
Charles Bradley,male
Joan Baez,female
Lewis Capaldi,male
Brett Young,male
Cyndi Lauper,female
Corey Taylor,male
Brooke Fraser,female
Bryan White,male
40 Cal.,male
Dru Down,male
Leonard Cohen,male
Sara Watkins,female
Warren Zevon,male
Kurt Vile,male
Sia,female
Soccer Mommy,female
Idina Menzel,female
Lil' Zane,male
Danny Brown,male
Ali Gatie,male
James Arthur,male
Ben Folds,male
Chantal Kreviazuk,female
Brad Paisley,male
King Von,male
Chris Botti,male
Buju Banton,male
Tyrone Wells,male
Anita Wilson,female
Dominic Fike,male
Bobby Vinton,male
Vitamin C,female
SleazyWorld Go,male
Draco Rosa,male
Lil Tecca,male
Marques Houston,male
Theophilus London,male
KB,male
Jessie Ware,female
Joe Satriani,male
Bizzy Bone,male
Anoushka Shankar,female
Rosanne Cash,female
Randy Houser,male
Grieves,male
TQ,male
Sparkle,female
Tony Joe White,male
Maria Mena,female
Jessica Andrews,female
Mike Jones,male
William McDowell,male
Sara Evans,female
The Tony Rich Project,male
Calboy,male
Adam Ant,male
Michael W. Smith,male
Jennifer Nettles,female
Guy Penrod,male
Porter Robinson,male
Kameron Marlowe,male
Dermot Kennedy,male
SBTRKT,male
Juicy J,male
Margie Joseph,female
Cher Lloyd,female
Yungeen Ace,male
Todrick Hall,male
Hunter Hayes,male
Howie Day,male
Raphael Saadiq,male
Lonnie Mack,male
Johnnie Taylor,male
Frankie Ballard,male
Morray,male
Esther Phillips,female
Greg Laswell,male
Kelela,female
Betty Who,female
Tai Verdes,male
Sugar Ray,male
Maggie Rogers,female
Robin Schulz,male
Ramsey Lewis,male
Switch,male
Zach Bryan,male
Nina Simone,female
Margo Price,female
Josh Wilson,male
Terry Reid,male
6ix9ine,male
Taylor Hicks,male
Joshua Rogers,male
Stanley Clarke,male
Joe Simon,male
Jidenna,male
Kat Edmonson,female
James Morrison,male
Jerry Jeff Walker,male
George Duke,male
Tom Morello,male
jxdn,male
Meiko,female
Z.Z. Hill,male
Childish Gambino,male
Jesse Powell,male
Hezekiah Walker,male
Junior H,male
Frank Foster,male
Neil Diamond,male
Marcus Mumford,male
Keith Sweat,male
Gene Simmons,male
Witchdoctor,male
Sech,male
Joey Ramone,male
Dwele,male
LL COOL J,male
James Cotton,male
Ginuwine,male
Westside Gunn,male
Ronnie Dyson,male
Snow,male
Brandy Clark,female
12 Gauge,male
Ronnie Wood,male
Paul Westerberg,male
Lil Rob,male
Barry Manilow,male
Calvin Harris,male
Robyn Adele Anderson,female
Jeff Beck,male
Big Data,male
Grand Puba,male
Chris LeDoux,male
Trip Lee,male
Tom Jones,male
Kevon Edmonds,male
Edwin Starr,male
DINO,male
Karen Clark Sheard,female
Conway Twitty,male
Calvin Richardson,male
Gabbie Hanna,female
Stephen Lynch,male
Dwight Yoakam,male
Bo Bice,male
Adele,female
Marc Anthony,male
Toby Keith,male
Kool G Rap,male
Eazy-E,male
Charlotte Gainsbourg,female
King Krule,male
Lil Nas X,male
Donovan,male
Cashmere Cat,male
K.T. Oslin,female
Danny Gatton,male
USHER,male
Nena,female
Santigold,female
Jelly Roll,male
Davido,male
Ricky Van Shelton,male
Clams Casino,male
Michael Crawford,male
David Sanborn,male
Wynonna,female
Kathy Mattea,female
Lobo,male
Tony Banks,male
Peter Wolf,male
Annie Lennox,female
Susan Ashton,female
Wes Montgomery,male
Skyzoo,male
Clay Walker,male
Billy Cobham,male
Steven Lutvak,male
The Streets,male
Sawyer Fredericks,male
George Howard,male
Alison Krauss,female
Jo Dee Messina,female
John Davidson,male
Ronnie Milsap,male
Carole King,female
Paul Williams,male
David Lee Roth,male
Wayne Brady,male
Robert Francis Kennedy,male
Ray Charles,male
Lindsay Lohan,female
Shabba Ranks,male
Joe Diffie,male
Robbie Nevil,male
Dean Lewis,male
Mary Chapin Carpenter,female
KRS-One,male
"Johnny ""Guitar"" Watson",male
John Tesh,male
Johnny Mathis,male
Tony Bennett,male
Charley Pride,male
Merle Haggard,male
Jesse Winchester,male
Donny Osmond,male
Richard Harris,male
Johnny Rivers,male
Jude Cole,male
Jack Jones,male
M. Ward,male
Ray Parker Jr.,male
Esham,male
Shirley Murdock,female
PJ Harvey,female
Jay Electronica,male
Boondox,male
André Cymone,male
Badly Drawn Boy,male
Randy Crawford,female
Laura Bell Bundy,female
Suzy Bogguss,female
King Tee,male
Delbert McClinton,male
Marlena Shaw,female
MC Lyte,female
Al Kooper,male
Madeon,male
Chico DeBarge,male
Don Henley,male
Jody Watley,female
Cherrelle,female
Butch Walker,male
Andy Gibb,male
Rauw Alejandro,male
Gary Moore,male
Taco,male
Cody Jinks,male
Nelson,male
Kenny Rankin,male
Norman Brown,male
Rory Gallagher,male
Eric Johnson,male
Daryle Singletary,male
Bob Seger,male
Chiquis,female
Cody Johnson,male
Luis Coronel,male
Kim Mitchell,male
Al Green,male
Alannah Myles,female
"""Weird Al"" Yankovic",male
Black Milk,male
Redhead Kingpin,male
Alias,male
Tom Waits,male
Ed Kowalczyk,male
José Feliciano,male
Rick Derringer,male
Lil' J,male
Eddie Kendricks,male
Emily West,female
Nicolette Larson,female
Al Jarreau,male
Collin Raye,male
Johnny Rodriguez,male
Jack Wagner,male
Amerie,female
JPEGMAFIA,male
Arthur Prysock,male
Pam Tillis,female
Crystal Bowersox,female
Pete Townshend,male
Andrew Gold,male
Raury,male
k.d. lang,female
Israel Kamakawiwo'ole,male
Richard Ashcroft,male
Shirley Jones,female
Pebbles,female
Jess Glynne,female
Pedro Fernández,male
Bebe Winans,male
Adam Calhoun,male
Dan Deacon,male
Garland Jeffreys,male
Jesse Colin Young,male
David Ackles,male
Lauren Alaina,female
Ryan Bingham,male
Eva Cassidy,female
Michael Ray,male
Amy Holland,female
Billy Joel,male
Joe Walsh,male
Yusuf / Cat Stevens,male
Tanita Tikaram,female
Nathaniel Rateliff,male
Kenny Lattimore,male
Don Williams,male
Genya Ravan,female
Mark Wills,male
Weyes Blood,female
Rachel Sweet,female
Shakey Graves,male
Andy Kim,male
Kirk Whalum,male
Angela Bofill,female
Art Garfunkel,male
Angela Winbush,female
Paul Anka,male
Tift Merritt,female
Les McCann,male
Aaron Carter,male
Graham Parker,male
Carly Simon,female
Leo Sayer,male
Christine Hanson,female
Midge Ure,male
Aaron Gillespie,male
Da Brat,female
Corbin Bleu,male
Aaron Shust,male
Scarlett Johansson,female
Apache,male
Rita Coolidge,female
Toro y Moi,male
Charlie Byrd,male
Keith Jarrett,male
Yoko Ono,female
Dolores O'Riordan,female
Waylon Jennings,male
Patrick Simmons,male
Kevin Abstract,male
Jeff Lynne,male
Mark Lindsay,male
Arlo Guthrie,male
Michael Franks,male
Sandi Patty,female
Anthony David,male
Lindsey Stirling,female
Jason Lancaster,male
Ashe,female
Kathleen Edwards,female
Nick Lowe,male
Maria Bamford,female
Joshua Bell,male
Southside Johnny,male
K-OS,male
Chris Rea,male
Melissa Auf der Maur,female
Gilberto Santa Rosa,male
Ashlee Simpson,female
Chuck D,male
Ozuna,male
Narada Michael Walden,male
Stoney LaRue,male
B Angie B,female
Cassidy,male
Macy Gray,female
Stacy Barthe,female
Marlon Jackson,male
JayDaYoungan,male
Yella Beezy,male
David Houston,male
Robin Trower,male
Paul Kossoff,male
Gilbert O'Sullivan,male
Susan Tedeschi,female
Loretta Lynn,female
Billy Ray Cyrus,male
Anita Cochran,female
Eddie Harris,male
George Lamond,male
Randy Newman,male
Dee Dee Bridgewater,female
Jim Steinman,male
DJ Pooh,male
Marty Balin,male
Mike Watt,male
Kelsea Ballerini,female
Bruce Dickinson,male
Sir Michael Rocks,male
Robert Plant,male
Freda Payne,female
Paul Banks,male
Madeleine Peyroux,female
Jorma Kaukonen,male
Russ Ballard,male
Paul Kantner,male
Barry Goudreau,male
Corey Hart,male
Jennifer Love Hewitt,female
Lil' Mo,female
Kimberley Locke,female
Danny Elfman,male
Neal McCoy,male
Kim Carnes,female
Mitski,female
Vanessa Carlton,female
Patti LaBelle,female
Eric Andersen,male
Ric Ocasek,male
Richard Marx,male
Matt Redman,male
Crystal Lewis,female
Jaci Velasquez,female
Ray Price,male
Joe Beck,male
David Baerwald,male
Lee Oskar,male
Freddy Fender,male
Steve Howe,male
Ariel Pink,male
Charlie Rich,male
Tim Moore,male
Yolanda Adams,female
Duff McKagan,male
Aries,male
Lainey Wilson,female
Cassandra Wilson,female
Ben Kweller,male
Vincenzo Bellini,male
Benjamin Booker,male
Bert Kaempfert,male
Davina,female
Maxi Priest,male
Pat Benatar,female
Jameson Rodgers,male
Stacey Q,female
Jonathan Nelson,male
Bebo Norman,male
John Paul White,male
Paul Young,male
Aubrey O'Day,female
Peter Allen,male
Bianca Ryan,female
Ty Herndon,male
David Wilcox,male
Tracy Byrd,male
Ant Banks,male
Laurie Anderson,female
Paris,male
Bill Cosby,male
Billy Dean,male
Tim Hardin,male
BabyTron,male
RZA,male
Cledus T. Judd,male
Stephen Bishop,male
Steffany Gretzinger,female
AMG,male
Meshell Ndegeocello,female
Donald Byrd,male
Lamont Dozier,male
Gino Vannelli,male
Charles Earland,male
Kutt Calhoun,male
Kool Keith,male
Cowboy Troy,male
Kill The Noise,male
Jonathan Davis,male
King Tuff,male
Robert Glasper,male
Shooter Jennings,male
Bob Mould,male
Corey Kent,male
Alana Davis,female
AMB,male
Mason Jennings,male
Herb Alpert,male
Justin Hayward,male
Tim Buckley,male
Steve Holy,male
Dustin Lynch,male
Brandon Heath,male
Nanci Griffith,female
Diana DeGarmo,female
Jordan Davis,male
Mark Lanegan,male
Carlos Santana,male
Bob McGrath,male
Bobby Brown,male
Meredith Brooks,female
Eric Carmen,male
Afu-Ra,male
A Fine Frenzy,female
Kany García,female
Jon B.,male
Ray Stevens,male
Ana,female
Shaggy,male
Steve Miller,male
Kathie Lee Gifford,female
Shaun Cassidy,male
Roger Williams,male
MF DOOM,male
Craig David,male
Peabo Bryson,male
Ben Harper,male
Michael Sembello,male
Roy Wood,male
Robert Goulet,male
Alisha,female
Kwame,male
Bill Withers,male
John Michael Montgomery,male
Jamie O'Neal,female
Amel Larrieux,female
Amanda Cook,female
Judy Collins,female
Doc Severinsen,male
Goapele,female
Pete Wingfield,male
Danny O'Keefe,male
Brenda K. Starr,female
Brenda Russell,female
Sam Riggs,male
Brendan James,male
Brian Hyland,male
Johnny Van Zant,male
Shawn Phillips,male
Vickie Winans,female
John Hiatt,male
Steve Harris,male
Linda Eder,female
Azealia Banks,female
Travis Greene,male
Brooke Hyland,female
Brook Benton,male
Orville Peck,male
Canaan Smith,male
Corey Smith,male
Buddy Jewell,male
Bucky Covington,male
Ibrahim Ferrer,male
Sarah Jarosz,female
Chet Faker,male
Bob Schneider,male
Freddie Hubbard,male
Steve Wariner,male
Marc Cohn,male
Andrew Peterson,male
Burt Bacharach,male
JENCARLOS,male
Burton Cummings,male
CKay,male
Daniel Caesar,male
Crystal Gayle,female
Lisa Loeb,female
Feed Me,male
Anthony Jeselnik,male
Lee Ann Womack,female
John Stewart,male
Bill Summers,male
Aaron Tippin,male
Paul Brandt,male
Tyrone Davis,male
Paradox Worship,male
Tyler Childers,male
Pat Green,male
Dan Fogelberg,male
FKA twigs,female
Big Pun,male
Stan Getz,male
Rockwell,male
Carl Wilson,male
Carl Carlton,male
Maynard Ferguson,male
John Handy,male
Carol Burnett,female
Ian McCulloch,male
Vince Neil,male
Dustin Kensrue,male
Casey Abrams,male
Casey James,male
David Allan Coe,male
Jerry Harrison,male
Dan Zanes,male
Cassie,female
Paolo Nutini,male
Joan Sebastian,male
Tristan Prettyman,female
Chayanne,male
James Durbin,male
Hayley Westenra,female
Michelle Lindahl,female
Rebbie Jackson,female
Leon Redbone,male
Elliot Easton,male
Roy Ayers,male
Syleena Johnson,female
Ella Henderson,female
Tweet,female
Phonte,male
Vangelis,male
Charlie Sexton,male
Chuck Mangione,male
Jane Olivor,female
Charli XCX,female
Deborah Allen,female
Mike Ness,male
Andra Day,female
Cheryl Ladd,female
Chi Coltrane,female
Playa,male
G. Dep,male
Jimmie Rodgers,male
Billy Thorpe,male
Philip Bailey,male
Father John Misty,male
John Lee Hooker,male
Lenny Williams,male
Tommy James,male
Christine McVie,female
Mel Tormé,male
Chuck Berry,male
Chuckii Booker,male
Bishop Briggs,female
Luis Enrique,male
Oleta Adams,female
Greg Kihn,male
Big Moe,male
Billy Gilman,male
David Phelps,male
Claudine Longet,female
Craig Finn,male
Chris Hillman,male
Rodney Crowell,male
Father MC,male
NF,male
Frankie Valli,male
Colby O'Donis,male
Starlito,male
Gordon Lightfoot,male
Noel Harrison,male
SAINt JHN,male
Larry Carlton,male
Colonel Abrams,male
Carin Leon,male
Morris Day,male
Leon Haywood,male
Bobby Vee,male
Elle King,female
Jane Monheit,female
Miki Howard,female
Triumph The Insult Comic Dog,male
Carla Bruni,female
Daniel Ash,male
Albert Hammond Jr,male
Lila McCann,female
James McMurtry,male
Tanya Tucker,female
Nivea,female
George Clinton,male
Teedra Moses,female
Zola Jesus,female
Sunny Sweeney,female
Twin Shadow,male
Carl Thomas,male
Robbie Robertson,male
Nita Strauss,female
Conor Maynard,male
Freak Nasty,male
Sage Francis,male
Tessanne Chin,female
Martin Gore,male
Trent Tomlinson,male
Walker Hayes,male
Paula Cole,female
Craig Campbell,male
Haystak,male
Pat Travers,male
Billy Squier,male
Tracy Chapman,female
Johnny Clegg,male
Karen O,female
John Klemmer,male
Blood Orange,male
David Bazan,male
Paul Rodgers,male
Curtis Stigers,male
Clint Black,male
Doe B,male
Jud Strunk,male
Morgan Page,male
Mat Zo,male
Floyd Cramer,male
Dan Hill,male
Dana Dane,male
Original London Cast of Dames at Sea,male
Steve Arrington,male
John Parish,male
Lita Ford,female
Danny Joe Brown,male
Aziz Ansari,male
Yanni,male
Crystal Shawanda,female
Najee,male
David Ruffin,male
Grace Potter,female
Duncan Sheik,male
Charlie Zaa,male
LUCKI,male
Christian Pagán,male
Dean Brody,male
Dean Friedman,male
Björk,female
Bootleg,male
Sticky Fingaz,male
Steve Cropper,male
Bob Geldof,male
Keak Da Sneak,male
John Fogerty,male
Thurston Moore,male
Yolandita Monge,female
Cage,male
Ofra Haza,female
Dennis DeYoung,male
Eagle-Eye Cherry,male
Dr. John,male
Jon Bon Jovi,male
Tom Scott,male
McGruff,male
Myron,male
Dave Hause,male
Michael Johnson,male
Dianne Reeves,female
Deana Carter,female
Kane Brown,male
Bonnie Raitt,female
Dean Martin,male
Juice Newton,female
Stella Soleil,female
Van McCoy,male
Shanice Wilson,female
"Nas & Damian ""Jr. Gong"" Marley",male
Coo Coo Cal,male
Angelique Kidjo,female
Michael Henderson,male
Freddie Jackson,male
Mitch Hedberg,male
Shannon,female
Adina Howard,female
Gordon Mote,male
Joe South,male
Jermaine Jackson,male
Donavon Frankenreiter,male
Sammy Kershaw,male
Dorothy Moore,female
Marco Antonio Muñiz,male
BØRNS,male
Doug Sahm,male
Frankie Miller,male
Monie Love,female
RL,male
Earl Klugh,male
Bill Callahan,male
Vance Joy,male
"Bobby ""Blue"" Bland",male
Tom Verlaine,male
Carolyn Dawn Johnson,female
Lil Baby,male
Grace Slick,female
Del Shannon,male
Eric Weissberg,male
Jessie Murph,female
Donnie McClurkin,male
Amy Winehouse,female
James Ingram,male
David Matthews,male
JT The Bigga Figga,male
Prime Minister Pete Nice,male
Bob Dylan Tribute Band,male
Pro,male
Helen Reddy,female
Kid Frost,male
Myke Towers,male
Eric Bellinger,male
Keith Barbour,male
Yngwie Malmsteen,male
Falco,male
Héctor Lavoe,male
Marcus King,male
Rodney Carrington,male
Roberto Tapia,male
Vicente Fernández,male
David Lindley,male
Cosculluela,male
Wisin,male
Muddy Waters,male
James Bay,male
Black Joe Lewis,male
Elisa Fiorillo,female
Maxwell,male
Jeffrey Osborne,male
Anuel AA,male
Derek Minor,male
Samantha Sang,female
Vikki Carr,female
Anderson East,male
Russell Watson,male
Meco,male
Flora Purim,female
Keith Murray,male
Lunay,male
Peter Schilling,male
Eric Paslay,male
Tim Finn,male
Martha Velez,female
Moon Martin,male
Mellow Man Ace,male
Becky G,female
Jim James,male
Etta James,female
Joel Crouse,male
Labrinth,male
Gregory Alan Isakov,male
Rex Smith,male
Ronnie Laws,male
Citizen Cope,male
Patti Austin,female
Hilary Weeks,female
Christopher Cross,male
Nikka Costa,female
Billy Preston,male
David Benoit,male
Damon Albarn,male
Tom Johnston,male
Lyrics Born,male
Lonnie Liston Smith,male
Hayley Kiyoko,female
Diplo,male
Statik Selektah,male
Dwayne Wiggins,male
Vanilla Ice,male
Shaggy 2 Dope,male
Offset,male
Chi-Ali,male
John Berry,male
Stephen Malkmus,male
beabadoobee,female
Hubert Laws,male
Malcolm McLaren,male
El-P,male
Edwin McCain,male
Farruko,male
Custom,male
Joe Jonas,male
Casual,male
Fats Domino,male
Mýa,female
Feargal Sharkey,male
Hoyt Axton,male
Terri Clark,female
Tim Curry,male
Jennifer Holliday,female
Walter Jackson,male
Mongo Santamaria,male
Feid,male
Nona Hendryx,female
Nicky Jam,male
Fefe Dobson,female
Charlie,male
Jonny Lang,male
Emily Osment,female
SpotemGottem,male
Patton Oswalt,male
Steve Jones,male
Fiona,female
Sara Groves,female
Beth Hart,female
Karina Pasian,female
David Gates,male
Chris Squire,male
Julee Cruise,female
Clint Brown,male
Rickie Lee Jones,female
Jimmy Cliff,male
O.C. Smith,male
Trombone Shorty,male
Howard Hewett,male
Rebecca Lynn Howard,female
Benjamin Gibbard,male
Murs & 9th Wonder,male
Foster Sylvers,male
Aoife O'Donovan,female
Neko Case,female
Frank Black,male
Willie Hutch,male
Shel Silverstein,male
Joell Ortiz,male
Jerrod Niemann,male
Michael Penn,male
Andy Griggs,male
Rhiannon Giddens,female
Jimmy Barnes,male
Bob Welch,male
Sean Ono Lennon,male
Chris Stapleton,male
Chick Corea,male
Doug Stone,male
Jessica Reedy,female
Sammie,male
Tommy Page,male
Frozen Ghost,male
Mad Skillz,male
Pat Metheny,male
Jane Wiedlin,female
Pharrell Williams,male
Freddy Weller,male
Blaze Ya Dead Homie,male
Domo Genesis,male
Peso Pluma,male
Patti Page,female
Stacie Orrico,female
Liza Minnelli,female
A.C. Newman,male
King Curtis,male
Jaron And The Long Road To Love,male
David Lee Murphy,male
Melvin Riley,male
Les Dudek,male
Zee Avi,female
Ben Jelen,male
Tommy Shaw,male
Giveon,male
Dave Davies,male
Glenn Jones,male
Glenn Medeiros,male
Gary Glitter,male
Jon Bellion,male
Audra McDonald,female
Tiny Tim,male
Mick Jagger,male
Alex G,male
Dre Murray,male
Mike Doughty,male
U-God,male
Dawn Richard,female
Shirley Caesar,female
Bleachers,male
Gwen Guthrie,female
GRiZ,male
Tobias Jesso Jr.,male
David Kersh,male
Daniel Bedingfield,male
Shirley Bassey,female
Nate Ruess,male
Jekalyn Carr,female
Lorrie Morgan,female
A.B. Quintanilla III,male
Rod McKuen,male
Tasmin Archer,female
Lee Greenwood,male
Keith Whitley,male
Gram Parsons,male
Paul Carrack,male
Little Milton,male
Harvey Mason,male
Billie Myers,female
Ashley Tisdale,female
Bruce Hornsby,male
ANOHNI,female
Roger Hodgson,male
Hugo Montenegro & His Orchestra and Chorus,male
Johnny Bristol,male
Hannah Montana,female
Bizarre,male
Barney,male
B-Legit,male
Paul Dean,male
Dave Grusin,male
Mad Cobra,male
Billy F Gibbons,male
Christina Perri,female
Alex Bugnon,male
Jody Miller,female
Paula Abdul,female
Sonique,female
Latoya Jackson,female
Jennifer Rush,female
Audrey Assad,female
Don Johnson,male
Da' T.R.U.T.H.,male
Sondre Lerche,male
Michelle Williams,female
Leighton Meester,female
Patterson Hood,male
Cindy Cruse Ratcliff,female
Rebecca Ferguson,female
Kamasi Washington,male
Killah Priest,male
Blake Mills,male
Poe,female
Bridgit Mendler,female
The D.O.C.,male
Henry Lee Summer,male
Shuggie Otis,male
Ronald Isley,male
Tasha Page-Lockhart,female
Moe Bandy,male
Wilson Pickett,male
Gerard Way,male
Carnie And Wendy Wilson,female
Paul Overstreet,male
Kandi,female
Boy George,male
Eno • Hyde,male
Clarence Clemons,male
Ernie Isley,male
Jackie Wilson,male
Richard Betts,male
Ricky Skaggs,male
Celia Cruz,female
Hoku,female
Tiffany,female
Greyson Chance,male
Gyptian,male
Michael Kiwanuka,male
André Rieu,male
Stephanie Mills,female
Josh Garrels,male
Monifah,female
Lucy Dacus,female
Elvin Bishop,male
Ian Anderson,male
Harry Belafonte,male
Al B. Sure!,male
Pete Shelley,male
Bobby Goldsboro,male
Marty Stuart,male
Prof,male
Eddie Rabbitt,male
Horace Brown,male
Gene Page,male
Dave Gahan,male
Toni Childs,female
Coko,female
Eddie Murphy,male
Tom Paxton,male
Joan Armatrading,female
Res,female
Gerardo Ortiz,male
Nick Fradiani,male
Bart Millard,male
Alicia Myers,female
Ann Peebles,female
James Fortune,male
Matthew Wilder,male
Andrew W.K.,male
Hamilton Leithauser,male
Hank Crawford,male
Chubb Rock,male
Jens Lekman,male
Amanda Blank,female
Betty Wright,female
Lyle Lovett,male
Lykke Li,female
T.G. Sheppard,male
Jennifer Hudson,female
Eddie Holman,male
JJ Hairston,male
Richie McDonald,male
Perry Como,male
Marty Robbins,male
Kim Waters,male
Dorinda Clark-Cole,female
Chantay Savage,female
Tommy Boyce,male
Kiki Dee,female
Whitney Houston,female
Jason Richardson,male
Jerry Butler,male
Vanessa Hudgens,female
Ivan Neville,male
Joey Feek,female
Wade Bowen,male
Linda Clifford,female
Rodney Atkins,male
Brian Setzer,male
Sean Paul,male
Pat Boone,male
James Labrie,male
Barbara Mandrell,female
Cheri Dennis,female
Marley Marl,male
Tom T. Hall,male
Stevie Ray Vaughan,male
David Johansen,male
Martin Page,male
Jeff Lorber,male
Hussein Fatal,male
Neil Sedaka,male
Country Joe McDonald,male
Timbaland,male
Rachelle Ferrell,female
Diana Reyes,female
José Luis Rodríguez,male
Aaron Hall,male
William Hung,male
Bassnectar,male
Darlene Love,female
David Peaston,male
Joe Sample,male
Bettye LaVette,female
Megan Hilty,female
Phoebe Snow,female
Jackie Lomax,male
Tina Campbell,female
Albert Hammond,male
JT Hodges,male
Jackie DeShannon,female
Artie Lange,male
Jamie Walters,male
Jamie Lawson,male
Jana Kramer,female
Jane Child,female
Major Harris,male
Jennifer Paige,female
Jeff Carson,male
Jeff Bridges,male
Jennifer Hanson,female
Jerry Vale,male
Jennifer Warnes,female
Jessie James Decker,female
Jamie Lidell,male
Jim Stafford,male
Jibbs,male
Jimmy Cozier Jr.,male
O.C.,male
Jimmy Ray,male
Jimmy Wayne,male
Joey Lawrence,male
John Eddie,male
John Sebastian,male
Jocelyn Enriquez,female
Jordan Knight,male
Jonas Blue,male
Josh Gracin,male
Oran Juice Jones,male
Julian Plenti,male
Julia Fordham,female
Julie Roberts,female
Julieta Venegas,female
Laura Veirs,female
Dwight Twilley,male
Valerie Carter,female
Jimmy Webb,male
Suga Free,male
Andy Griffith,male
Larry Graham,male
Allison Iraheta,female
Gerald Albright,male
Brian Courtney Wilson,male
Jellybean,male
Grace VanderWaal,female
Justin Guarini,male
Keith Washington,male
KAROL G,female
Pharoah Sanders,male
Karyn White,female
Dan Auerbach,male
Donald Fagen,male
Merry Clayton,female
Howard Johnson,male
Kevin Denney,male
Kevin Lyttle,male
Kevin Paige,male
Bri Babineaux,female
Zella Day,female
King Floyd,male
Jim Gaffigan,male
Little Richard,male
Kurtis Blow,male
Gustavo Laureano,male
Tatyana Ali,female
Alessia Cara,female
Bahamadia,female
Kurupt,male
Skepta,male
DJ ESCO,male
Kris Allen,male
Flipp Dinero,male
LSG,male
Flex,male
Rick Braun,male
Leo Dan,male
Control,male
Bryant Myers,male
Manu Chao,male
Ana Gabriel,female
Larry Coryell,male
Tom Rush,male
Dave Valentin,male
Lalah Hathaway,female
Chunky A.,male
Lara Fabian,female
Bad Bunny,male
MC Eiht,male
Daryl Hall,male
Kenny Wayne Shepherd,male
Kungs,male
Jennifer Knapp,female
Sam Kinison,male
Rodney Franklin,male
Bailey Zimmerman,male
Jeff Bates,male
Cormega,male
R.A. The Rugged Man,male
Peter Hollens,male
Lenka,female
Leslie Odom Jr.,male
Lena Horne,female
"Bishop Paul S. Morton, Sr.",male
Stacy Lattisaw,female
Hugh Laurie,male
Emilio,male
Lacey Sturm,female
Madison Beer,female
Aloe Blacc,male
Big L,male
Gary Wright,male
Jerry Goodman,male
Lil' Romeo,male
Haley Reinhart,female
Peter Green,male
Carlene Carter,female
Toby Lightman,female
Chris Knight,male
Beverly Crawford,female
Skip,male
Kim Burrell,female
Paul Stanley,male
Joe Ely,male
Kathy Taylor,female
Jimmy Smith,male
Don Nix,male
Aaron Lines,male
Jann Arden,female
Livingston Taylor,male
Brian Fallon,male
Denis Leary,male
Atlas Sound,male
Billy Joe Shaver,male
Mindy Smith,female
Big Daddy Kane,male
Låpsley,female
MOD SUN,male
Johnny Lee,male
LORD DAVID SUTCH,male
Michael Nesmith,male
Lea Michele,female
Louis Armstrong,male
Kathy Troccoli,female
Tracey Thorn,female
Tom Browne,male
Regina Belle,female
Israel Houghton,male
Cerrone,male
Sherrié Austin,female
Jimmy Witherspoon,male
Kerli,female
Phora,male
Jackson Browne & David Lindley,male
Deodato,male
Sam Beam,male
Jeff Tweedy,male
Michael Cooper,male
Steve Martin,male
John Gary,male
Billy Ocean,male
Albert King,male
Lucas,male
Bob James,male
Lulu,female
Christopher Owens,male
Kate Nash,female
Kam,male
Masta Killa,male
MC Magic,male
Wax,female
Troy Ave,male
Lord Tariq,male
Stanley Jordan,male
Tracie Spencer,female
Nicole,female
Leon & Mary Russell,male
Kenna,male
Yo-Yo,female
Rahzel,male
Mali Music,male
Heintje Simons,male
Bobby Pinson,male
Justin Timberlake,male
Sebastian Yatra,male
Tracey Lee,male
Marcus Miller,male
Marilyn Martin,female
Maria McKee,female
Billy Childs,male
Maria Muldaur,female
Mark Collie,male
Mario Vazquez,male
Martha Wash,female
Marshall Crenshaw,male
Marvin Sease,male
John Waite,male
Matthew Morrison,male
Maurice White,male
Matty Mullins,male
RaeLynn,female
Billy Strings,male
Frayser Boy,male
Cheryl 'Pepsii' Riley,female
Kevin Sharp,male
Bobby McFerrin,male
John Doe,male
Melba Moore,female
Carla Thomas,female
John Kilzer,male
Jim Messina,male
Maysa,female
Don Francisco,male
Ana Isabelle,female
Mick Jones,male
Mick Taylor,male
Ronan Hardiman,male
Arthur Ferrante,male
Michael Peterson,male
Sauce Money,male
Michael Hutchence,male
Lights,female
Carla Olson and the Textones,female
Debby Boone,female
Mitchell Tenpenny,male
Miles Jaye,male
Holly Dunn,female
Smith,male
Mireille Mathieu,female
Camilo,male
Mitchel Musso,male
Gerardo,male
Luh Kel,male
Al Stewart,male
Kurt Cobain,male
DPR IAN,male
Buffy Sainte-Marie,female
T.S. Monk,male
Toni Tennille,female
Jim Ed Brown,male
Natalie Maines,female
Leslie West,male
Kristian Stanfill,male
Cathy Dennis,female
Gil Scott-Heron,male
Jean Knight,female
Norman Connors,male
Patrice O'Neal,male
Asake,male
Adrian Belew,male
Sheck Wes,male
¡MAYDAY! x MURS,male
La Chat,female
Marie Osmond,female
Candice Glover,female
